0.061;0;
0.233;0.025;
0.5;0.077;
0.76;0.187;
1;0.25;
1.175;0.368;
1.5;0.465;
1.755;0.586;
2;0.737;
2.221;0.903;
2.418;1;
0.061;0;
0.233;0.768;
0.5;0.886;
0.76;0.923;
1;0.938;
1.175;0.961;
1.5;0.967;
1.755;0.971;
2;0.984;
2.221;0.992;
2.418;1;
