5;5.151071921;5.997774244
10;5.068565079;5.777435274
15;5.001693645;5.634070616
20;4.945526451;5.528591753
25;4.897056688;5.444882187
30;4.854239726;5.375244488
35;4.81575257;5.315348851
40;4.780873584;5.262308739
45;4.748760863;5.214680883
50;4.718933317;5.171022014
55;4.691150401;5.1306105
60;4.664931025;5.09296525
65;4.640275191;5.057605175
70;4.616701807;5.024049186
75;4.594331148;4.992177009
80;4.572922667;4.961627829
85;4.552356093;4.932401644
90;4.532511153;4.904257911
95;4.513508119;4.877196629
100;4.494986175;4.850977254
